epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.517,0.28284,57.9259,18.9533,0.27109,0,0,0,0,0,0,0,0,0,0.01529,6.27599,8.44552,0.00734,0,9e-05,9e-05,0.09709
2,15.9692,1.84929,44.6002,9.15848,1.86432,0,0,0,0,0,0,0,0,0,0.03239,6.85894,5.45825,0.01467,0,0.00020406,0.00020406,0.0932041
3,23.5521,1.12635,16.2117,5.58626,0.66437,0,0,0,0,0,0,0,0,0,0.05103,6.89478,4.42069,0.0224,0,0.000311331,0.000311331,0.0893113
4,31.2625,3.9541,12.3012,5.83794,2.21743,0,0,0,0,0,0,0,0,0,0.13808,6.67449,2.96507,0.05699,0,0.000411814,0.000411814,0.0854118
5,38.8375,3.66127,7.17746,4.17903,1.68216,0,0,0,0,0,0,0,0,0,0.23334,6.44886,2.48965,0.09355,0,0.000505509,0.000505509,0.0815055
6,46.1788,3.90088,5.65947,3.62753,1.53615,0,0,0,0,0,0,0,0,0,0.39725,6.10978,2.17186,0.15408,0,0.000592414,0.000592414,0.0775924
7,53.582,6.08592,5.07831,4.34644,2.25673,0,0,0,0,0,0,0,0,0,0.39725,6.10978,2.17186,0.15408,0,0.000672531,0.000672531,0.0736725
8,60.8812,4.24071,4.83425,3.10996,1.78483,0,0,0,0,0,0,0,0,0,0.65658,5.83775,2.00822,0.24668,0,0.00074586,0.00074586,0.0697459
9,68.2295,5.47856,4.98794,2.94707,2.05179,0,0,0,0,0,0,0,0,0,1.05992,5.69293,2.0221,0.3863,0,0.0008124,0.0008124,0.0658124
10,75.7753,4.55175,4.81593,2.5011,1.97503,0,0,0,0,0,0,0,0,0,1.05992,5.69293,2.0221,0.3863,0,0.000872151,0.000872151,0.0618722
11,83.543,4.69934,5.23291,2.94329,1.97799,0,0,0,0,0,0,0,0,0,1.60724,5.56732,2.23364,0.57041,0,0.000925114,0.000925114,0.0579251
12,91.0435,3.95245,4.3518,2.21701,1.84816,0,0,0,0,0,0,0,0,0,1.60724,5.56732,2.23364,0.57041,0,0.000971289,0.000971289,0.0539713
13,98.0559,4.22999,4.12627,1.93183,1.92645,0,0,0,0,0,0,0,0,0,2.17881,5.50478,2.52094,0.75864,0,0.00101067,0.00101067,0.0500107
14,104.828,3.83263,4.02477,1.82077,1.94619,0,0,0,0,0,0,0,0,0,2.17881,5.50478,2.52094,0.75864,0,0.00104327,0.00104327,0.0460433
15,111.882,4.10832,4.07924,1.78136,2.17469,0,0,0,0,0,0,0,0,0,2.40663,5.50743,2.603,0.83274,0,0.00106908,0.00106908,0.0420691
16,118.875,3.79265,3.81526,1.6562,1.58805,0,0,0,0,0,0,0,0,0,2.40663,5.50743,2.603,0.83274,0,0.0010881,0.0010881,0.0380881
17,125.581,3.84312,3.74548,1.57136,1.52418,0,0,0,0,0,0,0,0,0,2.40663,5.50743,2.603,0.83274,0,0.00110033,0.00110033,0.0341003
18,132.816,4.72438,4.304,1.91245,1.67782,0,0,0,0,0,0,0,0,0,1.75804,5.49031,2.02837,0.61843,0,0.00110577,0.00110577,0.0301058
19,140.101,3.82281,4.38909,3.43706,1.65412,0,0,0,0,0,0,0,0,0,1.75804,5.49031,2.02837,0.61843,0,0.00110443,0.00110443,0.0261044
20,147.951,3.95951,3.54382,1.53632,1.63413,0,0,0,0,0,0,0,0,0,1.75804,5.49031,2.02837,0.61843,0,0.00109629,0.00109629,0.0220963
21,157.094,3.84361,3.61106,1.60598,1.63508,0,0,0,0,0,0,0,0,0,1.75804,5.49031,2.02837,0.61843,0,0.00108137,0.00108137,0.0180814
22,167.302,4.61571,4.11251,1.68602,1.58719,0,0,0,0,0,0,0,0,0,0.81916,5.35852,1.21832,0.29849,0,0.00105966,0.00105966,0.0140597
23,176.475,4.4176,4.14145,1.57376,1.4263,0,0,0,0,0,0,0,0,0,0.81916,5.35852,1.21832,0.29849,0,0.00103116,0.00103116,0.0100312
24,186.694,3.52491,3.85534,1.33023,1.50009,0,0,0,0,0,0,0,0,0,0.81916,5.35852,1.21832,0.29849,0,0.000995871,0.000995871,0.00599587
25,199.142,3.48442,3.9716,1.2278,1.34461,0,0,0,0,0,0,0,0,0,0.81916,5.35852,1.21832,0.29849,0,0.000953794,0.000953794,0.00195379
26,209.85,3.83791,4.08679,1.70618,1.3981,0,0,0,0,0,0,0,0,0,0.54166,5.21243,0.95216,0.20313,0,0.000878571,0.000878571,0.000878571
27,218.383,3.14428,3.46667,1.23243,1.27938,0,0,0,0,0,0,0,0,0,0.54166,5.21243,0.95216,0.20313,0,0.000793714,0.000793714,0.000793714
28,227.575,3.50212,3.98176,1.58266,1.3376,0,0,0,0,0,0,0,0,0,0.54166,5.21243,0.95216,0.20313,0,0.000708857,0.000708857,0.000708857
29,237.738,3.46071,2.94476,1.25855,1.26395,0,0,0,0,0,0,0,0,0,0.54166,5.21243,0.95216,0.20313,0,0.000624,0.000624,0.000624
30,246.483,2.7209,2.77228,1.07862,1.07852,0,0,0,0,0,0,0,0,0,6.54689,4.72249,4.32121,1.85349,0,0.000539143,0.000539143,0.000539143
31,255.748,2.87228,3.33348,1.09046,1.28034,0,0,0,0,0,0,0,0,0,6.54689,4.72249,4.32121,1.85349,0,0.000454286,0.000454286,0.000454286
32,264.327,3.80507,3.55759,1.61162,1.45785,0,0,0,0,0,0,0,0,0,6.54689,4.72249,4.32121,1.85349,0,0.000369429,0.000369429,0.000369429
33,273.503,3.44868,3.15241,1.27031,1.19693,0,0,0,0,0,0,0,0,0,6.54689,4.72249,4.32121,1.85349,0,0.000284571,0.000284571,0.000284571
34,282.631,3.82191,3.1792,1.45793,1.36509,0,0.42934,0.09091,0.13778,0.029,0.30832,0.27273,0.19482,0.05682,4.26975,4.23175,2.06746,1.29228,0,0.000199714,0.000199714,0.000199714
35,290.168,3.52727,3.37818,1.42255,1.27036,0,0.42934,0.09091,0.13778,0.029,0.30832,0.27273,0.19482,0.05682,4.26975,4.23175,2.06746,1.29228,0,0.000114857,0.000114857,0.000114857
