epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,5.12,2.86881,6.00158,3.70401,1.03601,0,0,0,0,0,0,0,0,0,2.33608,39.0406,3.57505,1.0226,0,5e-05,5e-05,0.09905
2,10.1319,2.17119,3.877,3.229,0.89935,0,0.06333,0.76,0.08006,0.02382,0,0,0,0,2.47921,41.421,3.3445,0.96977,0,0.000137625,0.000137625,0.0971376
3,14.6004,1.67584,2.94716,2.76324,0.89509,0,0.07333,0.88,0.11557,0.0415,0,0,0,0,2.09406,34.1446,3.23224,0.91291,0,0.00020875,0.00020875,0.0952088
4,18.9402,1.69167,2.7341,2.42638,0.87652,0,0.08333,1,0.80517,0.34969,0,0,0,0,1.72453,42.2721,3.09689,0.87117,0,0.000263375,0.000263375,0.0932634
5,23.2302,1.7699,2.74617,1.8392,0.83503,0,0.08333,1,0.87299,0.42636,0,0,0,0,1.60648,56.2258,3.00118,0.85599,0,0.0003015,0.0003015,0.0913015
6,27.4582,1.6665,2.18589,1.43773,0.87089,0,0.08333,1,0.87299,0.42636,0,0,0,0,1.60648,56.2258,3.00118,0.85599,0,0.000323125,0.000323125,0.0893231
7,31.787,1.58066,1.99353,1.33119,0.88502,0,0.08333,1,0.86853,0.37602,0,0,0,0,1.63377,67.5029,2.9491,0.8504,0,0.00032825,0.00032825,0.0873283
8,35.9972,1.56134,2.52493,1.25288,0.82287,0,0.08333,1,0.74317,0.30121,0,0,0,0,1.76197,64.0343,2.94735,0.8616,0,0.000316875,0.000316875,0.0853169
9,40.3478,1.74647,2.3119,1.55238,0.80723,0,0.08333,1,0.74317,0.30121,0,0,0,0,1.76197,64.0343,2.94735,0.8616,0,0.000289,0.000289,0.083289
10,44.8822,1.66977,1.8731,1.28423,0.88235,0,0.08333,1,0.81979,0.32944,0,0,0,0,1.81511,45.3717,2.82955,0.86272,0,0.000244625,0.000244625,0.0812446
11,49.1042,1.73432,2.24953,1.42545,0.80652,0,0.08333,1,0.81979,0.32944,0,0,0,0,1.81511,45.3717,2.82955,0.86272,0,0.00018375,0.00018375,0.0791838
12,53.4004,1.61474,1.84659,1.26414,0.84504,0,0.08333,1,0.93592,0.41777,0,0,0,0,1.70831,36.0369,2.68701,0.85212,0,0.000106375,0.000106375,0.0771064
