epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81839,3.44114,4.90564,3.76433,1.14142,0,0.01667,0.2,0.00339,0.0006,0.02167,0.26,0.00577,0.00279,2.52077,2.76984,3.68761,0.97116,0,2e-05,2e-05,2e-05
2,7.52648,3.17626,4.6521,3.67228,1.0984,0,0.03,0.36,0.01357,0.00437,0.03833,0.46,0.02222,0.01029,2.11744,2.50704,3.66422,0.92431,0,5.7624e-05,5.7624e-05,5.7624e-05
3,11.1036,2.70851,3.44489,3.50535,0.96969,0,0.05,0.6,0.03936,0.01523,0.05333,0.64,0.04485,0.02077,1.78956,2.4168,3.65207,0.89452,0,9.208e-05,9.208e-05,9.208e-05
4,14.6082,2.88809,2.59567,3.44421,0.90074,0,0.06,0.72,0.06598,0.02538,0.06,0.72,0.06598,0.02558,1.57502,2.54902,3.65208,0.86848,0,0.000123368,0.000123368,0.000123368
5,17.9003,1.81974,2.77333,3.14783,0.8936,0,0.06333,0.76,0.07805,0.02272,0.06333,0.76,0.07634,0.02209,1.59483,2.91729,3.65472,0.86509,0,0.000151488,0.000151488,0.000151488
6,21.2376,2.0818,3.17154,2.94915,0.83545,0,0.06333,0.76,0.07805,0.02272,0.06333,0.76,0.07634,0.02209,1.59483,2.91729,3.65472,0.86509,0,0.00017644,0.00017644,0.00017644
7,24.4454,1.96288,2.80693,2.70629,0.87232,0,0.06667,0.8,0.08571,0.02015,0.06,0.72,0.07125,0.02125,1.80977,3.2918,3.64524,0.87674,0,0.000198224,0.000198224,0.000198224
8,27.7342,2.07219,2.91818,2.62255,0.89579,0,0.06667,0.8,0.08958,0.02444,0.06,0.72,0.07155,0.02114,2.03804,3.5015,3.61095,0.88822,0,0.00021684,0.00021684,0.00021684
9,30.9697,2.25286,3.33206,2.33111,0.88744,0,0.06667,0.8,0.08958,0.02444,0.06,0.72,0.07155,0.02114,2.03804,3.5015,3.61095,0.88822,0,0.000232288,0.000232288,0.000232288
10,34.2496,2.27586,3.35605,2.26696,0.79948,0,0.06667,0.8,0.09191,0.03438,0.06333,0.76,0.07295,0.0253,2.06893,3.38315,3.53155,0.88916,0,0.000244568,0.000244568,0.000244568
11,37.6321,2.18337,2.55508,2.06197,0.78508,0,0.06667,0.8,0.09191,0.03438,0.06333,0.76,0.07295,0.0253,2.06893,3.38315,3.53155,0.88916,0,0.00025368,0.00025368,0.00025368
12,40.8667,2.15869,2.8728,1.76949,0.86428,0,0.06833,0.82,0.09913,0.04641,0.06667,0.8,0.08916,0.03185,1.93786,3.02724,3.44317,0.88883,0,0.000259624,0.000259624,0.000259624
13,44.3366,2.34382,2.96916,1.84094,0.7735,0,0.06833,0.82,0.09913,0.04641,0.06667,0.8,0.08916,0.03185,1.93786,3.02724,3.44317,0.88883,0,0.0002624,0.0002624,0.0002624
14,47.9818,2.12174,2.66961,1.64754,0.83043,0,0.06833,0.82,0.09913,0.04641,0.06667,0.8,0.08916,0.03185,1.93786,3.02724,3.44317,0.88883,0,0.000262008,0.000262008,0.000262008
15,51.544,2.04146,2.43157,1.61449,0.82577,0,0.07333,0.88,0.11337,0.04421,0.07667,0.92,0.10458,0.03773,1.86269,2.68127,3.34905,0.86847,0,0.000258448,0.000258448,0.000258448
16,54.6579,1.84681,2.13279,1.36382,0.82558,0,0.07333,0.88,0.11337,0.04421,0.07667,0.92,0.10458,0.03773,1.86269,2.68127,3.34905,0.86847,0,0.00025172,0.00025172,0.00025172
17,57.6564,1.67413,2.25094,1.30968,0.85702,0,0.07333,0.88,0.11337,0.04421,0.07667,0.92,0.10458,0.03773,1.86269,2.68127,3.34905,0.86847,0,0.000241824,0.000241824,0.000241824
18,60.67,1.59618,2.13452,1.21246,0.82806,0,0.07833,0.94,0.12397,0.04455,0.08,0.96,0.1242,0.04135,1.74136,2.4656,3.21158,0.85562,0,0.00022876,0.00022876,0.00022876
19,63.6575,1.67349,2.43154,1.22828,0.84632,0,0.07833,0.94,0.12397,0.04455,0.08,0.96,0.1242,0.04135,1.74136,2.4656,3.21158,0.85562,0,0.000212528,0.000212528,0.000212528
